가구고유번호,소비지출,지출_소비지출_식료품_외식비,지출_소비지출_주거비,지출_소비지출_교육비_보육료포함,지출_소비지출_의료비,지출_소비지출_교통비,지출_소비지출_통신비,지출_소비지출_경조비및기타소비지출
13202171,750,90,120,0,350,10,30,150
13202181,4200,1200,420,1200,120,360,300,600
13202191,4010,1100,550,1450,110,330,330,140
13202311,4780,720,360,1800,60,240,300,1300
13202381,6535,1440,420,1960,120,795,360,1440
13203111,0,0,0,0,0,0,0,0
13203121,0,0,0,0,0,0,0,0
13203131,0,0,0,0,0,0,0,0
13203141,0,0,0,0,0,0,0,0
13203301,2010,600,300,0,600,30,40,440
13203311,2440,600,240,0,400,480,120,600
13203331,1718,360,360,276,60,360,132,170
13203341,3236,1039,261,0,38,758,288,852
13203371,2816,965,216,1180,10,120,180,145
13203381,4506,1000,2100,546,150,240,160,310
13203391,0,0,0,0,0,0,0,0
13204151,6350,980,810,2200,200,530,180,1450
13204161,2470,360,240,0,300,360,36,1174
13204191,5185,1800,360,0,1045,700,180,1100
13500121,0,0,0,0,0,0,0,0
13500161,1900,600,600,0,50,120,400,130
13500181,2206,1000,570,282,10,10,264,70
13500191,3228,600,440,0,48,240,120,1780
13501271,0,0,0,0,0,0,0,0
13501281,0,0,0,0,0,0,0,0
13501291,2320,1200,240,120,120,96,144,400
13503311,0,0,0,0,0,0,0,0
13503321,2396,420,216,0,300,900,160,400
13503331,5270,2000,150,1000,150,600,250,1120
13503341,0,0,0,0,0,0,0,0
13600101,0,0,0,0,0,0,0,0
13600131,0,0,0,0,0,0,0,0
13600141,950,360,120,180,10,60,120,100
13600151,762,240,120,0,100,36,36,230
13600161,2584,720,120,800,30,240,264,410
13600181,2012,600,240,0,240,240,132,560
13600191,810,647,72,0,50,11,20,10
13600201,1190,240,30,0,144,210,80,486
13600211,1300,600,140,0,50,150,60,300
13600221,6000,1200,720,2000,100,720,360,900
13600231,0,0,0,0,0,0,0,0
13600241,0,0,0,0,0,0,0,0
13600251,0,0,0,0,0,0,0,0
13600261,0,0,0,0,0,0,0,0
13600281,0,0,0,0,0,0,0,0
13600291,0,0,0,0,0,0,0,0
13600301,0,0,0,0,0,0,0,0
13600321,0,0,0,0,0,0,0,0
13600331,0,0,0,0,0,0,0,0
13600351,2992,960,408,564,240,240,180,400
13600361,0,0,0,0,0,0,0,0
13600371,0,0,0,0,0,0,0,0
14200121,932,310,180,0,0,220,42,180
14200161,1970,600,400,0,200,100,220,450
14200171,1756,420,336,0,150,260,150,440
14200191,6708,1200,276,3800,400,480,252,300
14200211,3940,1800,360,0,100,240,180,1260
14200221,3030,780,350,680,50,200,450,520
14200241,2100,500,240,1080,30,50,120,80
14200291,2236,720,132,0,800,300,84,200
14200331,4264,1200,360,1000,300,240,264,900
14201111,0,0,0,0,0,0,0,0
14201141,0,0,0,0,0,0,0,0
14201181,0,0,0,0,0,0,0,0
14201191,0,0,0,0,0,0,0,0
14201231,1240,600,240,0,50,60,50,240
14201241,3056,1320,130,650,120,390,176,270
14201281,528,120,120,0,60,48,60,120
14201301,2022,600,636,0,100,96,180,410
14201391,2620,840,240,600,60,240,180,460
14202131,2730,360,300,0,10,600,560,900
14202181,0,0,0,0,0,0,0,0
14202301,4250,900,540,120,120,240,170,2160
14202331,3246,1050,240,0,15,348,264,1329
14202341,1410,600,250,0,200,120,180,60
14202351,3720,960,330,600,90,840,300,600
14202361,3024,100,252,1100,120,732,200,520
14202371,5112,1200,288,1200,360,1032,312,720
14203141,0,0,0,0,0,0,0,0
14203151,0,0,0,0,0,0,0,0
14203361,2450,600,380,0,200,720,100,450
14203391,0,0,0,0,0,0,0,0
14500101,1890,720,120,150,60,300,240,300
14500111,1910,720,140,0,70,370,150,460
14500141,2078,840,148,0,144,480,216,250
14500151,1448,360,240,0,210,180,124,334
14500191,0,0,0,0,0,0,0,0
14501201,1932,720,132,0,120,360,120,480
14501231,1687,300,612,0,200,360,120,95
14503351,0,0,0,0,0,0,0,0
14600111,0,0,0,0,0,0,0,0
14600121,0,0,0,0,0,0,0,0
14600141,298,120,42,0,30,10,36,60
14600151,1448,360,124,600,36,48,60,220
14600171,0,0,0,0,0,0,0,0
14600181,0,0,0,0,0,0,0,0
14600301,5860,1200,960,0,100,1200,200,2200
14600311,2190,720,192,528,150,200,100,300
14600321,3000,840,240,0,20,360,120,1420
14600331,3240,1000,300,750,120,200,250,620
14600351,0,0,0,0,0,0,0,0
14600361,0,0,0,0,0,0,0,0
14600381,0,0,0,0,0,0,0,0
14600391,0,0,0,0,0,0,0,0
15200131,3390,600,1680,0,20,600,200,290
15200141,1388,560,384,200,10,80,50,104
15200151,1970,600,110,0,10,720,360,170
15200201,1351,720,96,0,45,140,160,190
15200211,1800,720,320,0,160,100,180,320
15200221,3770,1200,384,0,200,420,336,1230
15200251,3360,900,500,800,70,300,300,490
15200261,2705,600,240,400,240,120,360,745
15200271,625,180,265,0,80,30,20,50
15200291,1645,720,360,0,60,240,120,145
15200301,221,70,36,0,40,10,10,55
15200351,1000,360,240,0,10,20,60,310
15200361,1388,240,292,420,36,120,180,100
15201101,0,0,0,0,0,0,0,0
15201121,0,0,0,0,0,0,0,0
15201211,2550,400,660,0,600,500,140,250
15201221,773,240,180,0,100,120,48,85
15201251,1920,420,250,0,400,400,100,350
15201271,1288,360,240,0,180,204,14,290
15201311,3110,1800,270,260,300,30,100,350
15201351,1440,600,120,0,10,240,180,290
15201371,1292,620,132,120,100,30,170,120
15201381,3980,800,420,1000,40,780,540,400
15202111,0,0,0,0,0,0,0,0
15202121,0,0,0,0,0,0,0,0
15202151,0,0,0,0,0,0,0,0
15202171,2640,1000,400,0,50,70,120,1000
15202181,1140,360,120,0,500,40,50,70
15202311,1157,720,192,0,180,18,12,35
15202351,0,0,0,0,0,0,0,0
15202361,0,0,0,0,0,0,0,0
15203191,0,0,0,0,0,0,0,0
15203311,2699,840,212,436,215,360,156,480
15203321,953,360,160,45,60,36,72,220
15203341,2528,360,588,0,1000,250,180,150
15203361,2460,600,360,0,60,360,180,900
15203371,4310,600,1800,800,300,100,260,450
15203391,0,0,0,0,0,0,0,0
15204101,2649,904,435,480,250,80,270,230
15204151,4560,1800,400,0,1500,100,60,700
15500131,0,0,0,0,0,0,0,0
15500141,0,0,0,0,0,0,0,0
15500171,1510,360,200,0,200,200,100,450
15500191,3370,1200,480,0,10,480,480,720
15503311,2550,720,240,0,600,250,180,560
15503331,1391,300,156,0,100,420,150,265
15503341,182,50,15,0,15,15,12,75
15503351,4160,1000,300,1000,120,840,300,600
15503361,0,0,0,0,0,0,0,0
15503371,0,0,0,0,0,0,0,0
15600111,936,360,312,0,0,84,120,60
15600131,0,0,0,0,0,0,0,0
15600141,0,0,0,0,0,0,0,0
15600151,0,0,0,0,0,0,0,0
15600161,0,0,0,0,0,0,0,0
15600181,0,0,0,0,0,0,0,0
15600191,0,0,0,0,0,0,0,0
15600301,0,0,0,0,0,0,0,0
15600311,0,0,0,0,0,0,0,0
15600321,0,0,0,0,0,0,0,0
15600331,0,0,0,0,0,0,0,0
15600351,0,0,0,0,0,0,0,0
15600371,0,0,0,0,0,0,0,0
15600381,0,0,0,0,0,0,0,0
15600391,0,0,0,0,0,0,0,0
16200121,1890,360,132,0,1000,50,48,300
16200141,726,400,180,0,70,10,36,30
16200151,899,120,138,0,10,240,132,259
16200201,2574,1080,240,0,100,480,264,410
16200221,734,360,120,0,100,10,54,90
16200381,0,0,0,0,0,0,0,0
16201111,1180,360,260,0,300,60,60,140
16201121,5100,1000,300,2500,200,300,200,600
16201161,1026,300,240,0,20,120,96,250
16201201,1450,480,180,0,50,160,180,400
16202101,2901,1200,340,0,45,150,156,1010
16202131,1546,480,240,0,30,360,96,340
16202181,1960,600,240,360,100,200,240,220
16202301,6506,1200,420,3124,50,552,360,800
16202331,367,48,230,0,1,48,10,30
16203141,4900,400,280,3000,200,250,250,520
16203351,0,0,0,0,0,0,0,0
16204111,0,0,0,0,0,0,0,0
16204131,0,0,0,0,0,0,0,0
16204141,0,0,0,0,0,0,0,0
16204171,0,0,0,0,0,0,0,0
16204191,0,0,0,0,0,0,0,0
16500111,5300,1200,700,200,200,200,300,2500
16500141,0,0,0,0,0,0,0,0
16500151,0,0,0,0,0,0,0,0
16500161,0,0,0,0,0,0,0,0
16500181,0,0,0,0,0,0,0,0
16500191,0,0,0,0,0,0,0,0
16502301,1192,600,120,0,30,26,96,320
16502311,2416,960,144,100,300,120,240,552
16502331,1454,840,196,0,30,120,168,100
16502341,1959,360,240,455,84,360,180,280
16502361,439,180,120,0,35,20,24,60
16502371,1532,360,140,370,50,240,72,300
16502381,7040,960,300,4000,100,180,240,1260
16503301,0,0,0,0,0,0,0,0
16600101,0,0,0,0,0,0,0,0
16600121,0,0,0,0,0,0,0,0
16600131,0,0,0,0,0,0,0,0
16600141,0,0,0,0,0,0,0,0
16600151,0,0,0,0,0,0,0,0
16600171,0,0,0,0,0,0,0,0
16600181,0,0,0,0,0,0,0,0
16600191,0,0,0,0,0,0,0,0
16600311,0,0,0,0,0,0,0,0
16600321,2980,720,160,960,84,360,286,410
16600341,0,0,0,0,0,0,0,0
16600351,0,0,0,0,0,0,0,0
16600361,0,0,0,0,0,0,0,0
16600381,0,0,0,0,0,0,0,0
17200101,806,480,120,0,60,60,36,50
17200131,2892,1000,250,0,18,500,144,980
17200151,3900,900,300,2000,100,200,170,230
17200171,1532,480,630,0,0,200,192,30
17200231,2800,720,336,0,100,240,200,1204
17200261,1552,500,222,0,20,120,90,600
17200321,4900,600,600,2500,100,200,200,700
17200341,0,0,0,0,0,0,0,0
17201131,282,60,192,0,10,0,0,20
17201161,2580,1000,300,0,80,360,240,600
17201171,30,24,0,0,0,0,0,6
17201301,1990,1200,240,0,80,150,160,160
17201311,2490,1200,280,0,30,300,180,500
17201341,972,120,132,0,170,120,80,350
17201361,3064,600,264,420,600,520,180,480
17201371,3614,1200,420,888,114,132,240,620
17202101,2924,960,252,600,84,480,168,380
17202121,3936,960,360,1200,60,480,276,600
17202131,2460,480,840,0,60,420,180,480
17202151,8336,2400,456,2400,500,400,380,1800
17202171,3184,840,154,1098,24,456,310,302
17202181,2034,360,558,0,16,219,202,679
17202301,2960,600,280,300,200,600,280,700
17202331,2820,960,240,720,60,120,180,540
17202361,2350,840,206,550,15,240,240,259
17202371,1050,360,180,0,40,120,180,170
17203301,684,180,320,0,99,30,55,0
17203311,5110,600,300,1800,100,1560,330,420
17500101,0,0,0,0,0,0,0,0
17500111,0,0,0,0,0,0,0,0
17500121,0,0,0,0,0,0,0,0
17500131,0,0,0,0,0,0,0,0
17500141,0,0,0,0,0,0,0,0
17500161,0,0,0,0,0,0,0,0
17500181,0,0,0,0,0,0,0,0
17500191,2093,1200,463,0,10,150,140,130
17500291,5150,1160,360,1180,660,360,240,1190
17502311,2880,600,300,120,100,840,360,560
